"City","State","lat","lng"
"Agate","ND",48.770913,-99.772702
"Agawam","MA",42.140549,-72.788661
"Agency","IA",40.979036,-92.426183
"Agency","MO",39.631108,-94.714003
"Agenda","KS",39.70438,-97.446521
"Ages Brookside","KY",36.865351,-83.287927
"Agness","OR",42.656925,-124.133206
"Agoura Hills","CA",33.786594,-118.298662
"Agra","KS",39.760857,-99.119565
"Agra","OK",35.908981,-96.873793
"Agua Dulce","TX",27.836111,-97.530388
"Aguada","PR",18.393103,-67.180953
"Aguadilla","PR",18.4715316666667,-67.1410496666667
"Aguanga","CA",33.519176,-116.802625
"Aguas Buenas","PR",18.250398,-66.12845
"Aguila","AZ",33.276539,-112.18717
"Aguilar","CO",37.381577,-104.653809
"Aguirre","PR",17.99229,-66.139253
"Ah Gwah Ching","MN",46.862332,-94.641872
"Ahmeek","MI",47.293287,-88.389708
"Ahoskie","NC",36.339311,-76.990498
"Ahsahka","ID",46.507385,-116.296141
"Ahwahnee","CA",37.379045,-119.736326
"Aibonito","PR",18.128092,-66.268717
"Aiea","HI",21.39065,-157.927829
"Aiken","SC",33.5931101666667,-81.6379938333333
"Aiken","TX",34.071514,-101.30313
"Ailey","GA",32.17966,-82.516557
"Aimwell","LA",31.596272,-91.77941
"Ainsworth","IA",41.351113,-91.581212
"Ainsworth","NE",42.542734,-99.852364
"Airville","PA",39.821313,-76.405931
"Airway Heights","WA",47.643803,-117.59205
"Aitkin","MN",46.563605,-93.430495
"Ajo","AZ",31.970131,-111.890713
"Akaska","SD",45.29069,-99.991823
"Akeley","MN",46.987609,-94.726405
"Akers","LA",30.612371,-90.405312
"Akiachak","AK",60.314735,-163.118947
"Akiak","AK",60.314735,-163.118947
"Akin","IL",37.994296,-88.941665
"Akron","AL",32.855347,-87.721868
"Akron","CO",40.073328,-103.202379
"Akron","IA",42.822482,-96.462952
"Akron","IN",41.047932,-86.069172
"Akron","MI",43.582147,-83.546114
"Akron","NY",43.013808,-78.525296
"Akron","OH",41.083991,-81.5279871935484
"Akron","PA",40.129894,-76.361053
"Akutan","AK",55.430594,-162.55813
"Alabama","NY",42.998052,-78.184813
"Alabaster","AL",33.193415,-86.794377
"Alachua","FL",29.802745,-82.4840065
"Aladdin","WY",44.738184,-104.288519
"Alakanuk","AK",62.117231,-163.237636
"Alamance","NC",36.031836,-79.485643
"Alameda","CA",37.7528255,-122.253923
"Alamo","CA",37.936723,-122.067431
"Alamo","GA",32.143021,-82.82677
"Alamo","IN",39.962271,-87.050635
"Alamo","ND",48.538749,-103.47341
"Alamo","NV",37.472491,-115.143709
"Alamo","TN",35.806106,-89.086594
"Alamo","TX",26.221712,-98.218896
"Alamogordo","NM",32.782796,-105.780781
"Alamosa","CO",37.4779795,-105.836373
"Alanreed","TX",35.432839,-100.746559
"Alanson","MI",45.539802,-84.805792
"Alapaha","GA",31.383968,-83.221348
"Alba","MI",44.983262,-84.961776
"Alba","MO",37.236677,-94.417984
"Alba","PA",41.77197,-76.521266
"Alba","TX",32.815881,-95.705636
"Albany","CA",37.889525,-122.29828
"Albany","GA",31.559310875,-84.166577875
"Albany","IL",41.729562,-90.159676
"Albany","IN",40.277967,-85.274125
"Albany","KY",36.745738,-85.181967
"Albany","LA",30.527008,-90.742229
"Albany","MN",45.614724,-94.494229
"Albany","MO",40.256596,-94.330949
"Albany","NY",42.6317863137255,-73.9273310980392
"Albany","OH",39.240816,-82.177096
"Albany","OK",33.921979,-96.191767
"Albany","OR",44.594489,-122.581676
"Albany","TX",32.768222,-99.210207
"Albany","VT",44.741679,-72.364639
"Albany","WI",42.712827,-89.45123
"Albemarle","NC",35.291998,-80.180818
"Albers","IL",38.514316,-89.627154
"Albert","KS",38.420451,-98.913448
"Albert","OK",35.203206,-98.357423
"Albert City","IA",42.735002,-95.151118
"Albert Lea","MN",43.686288,-93.389838
"Alberta","AL",32.145564,-87.354953
"Alberta","MN",45.585961,-96.000761
"Alberta","VA",36.858078,-77.894632
"Alberton","MT",46.989275,-114.558456
"Albertson","NC",35.103676,-77.824959
"Albertson","NY",40.754757,-73.601772
"Albertville","AL",34.3183125,-86.217781
"Albertville","MN",45.258673,-93.664342
"Albia","IA",41.00004,-92.835186
"Albin","WY",41.335468,-104.249495
"Albion","CA",39.168027,-123.393401
"Albion","IA",42.143933,-92.961868
"Albion","ID",42.339326,-113.461324
"Albion","IL",38.328816,-88.064182
"Albion","IN",41.376028,-85.413862
"Albion","ME",44.530366,-69.639976
