"City","State","Year","Victim.Count","County"
"Anchorage","AK",1980,17,"Anchorage"
"Bethel","AK",1980,1,"Bethel"
"Juneau","AK",1980,22,"Juneau"
"Kenai Peninsula","AK",1980,1,"Kenai Peninsula"
"Nome","AK",1980,1,"Nome"
"North Slope","AK",1980,8,"North Slope"
"Autauga","AL",1980,2,"Autauga"
"Baldwin","AL",1980,4,"Baldwin"
"Barbour","AL",1980,2,"Barbour"
"Blount","AL",1980,7,"Blount"
"Bullock","AL",1980,1,"Bullock"
"Butler","AL",1980,4,"Butler"
"Calhoun","AL",1980,10,"Calhoun"
"Chambers","AL",1980,6,"Chambers"
"Chilton","AL",1980,2,"Chilton"
"Choctaw","AL",1980,1,"Choctaw"
"Clarke","AL",1980,3,"Clarke"
"Cleburne","AL",1980,12,"Cleburne"
"Coffee","AL",1980,3,"Coffee"
"Colbert","AL",1980,3,"Colbert"
"Conecuh","AL",1980,1,"Conecuh"
"Coosa","AL",1980,2,"Coosa"
"Covington","AL",1980,3,"Covington"
"Crenshaw","AL",1980,1,"Crenshaw"
"Cullman","AL",1980,3,"Cullman"
"Dale","AL",1980,2,"Dale"
"Dallas","AL",1980,4,"Dallas"
"De Kalb","AL",1980,1,"De Kalb"
"Elmore","AL",1980,17,"Elmore"
"Escambia","AL",1980,2,"Escambia"
"Etowah","AL",1980,14,"Etowah"
"Fayette","AL",1980,2,"Fayette"
"Franklin","AL",1980,2,"Franklin"
"Geneva","AL",1980,1,"Geneva"
"Greene","AL",1980,2,"Greene"
"Houston","AL",1980,7,"Houston"
"Jackson","AL",1980,5,"Jackson"
"Jefferson","AL",1980,130,"Jefferson"
"Lamar","AL",1980,1,"Lamar"
"Lauderdale","AL",1980,10,"Lauderdale"
"Lawrence","AL",1980,6,"Lawrence"
"Lee","AL",1980,6,"Lee"
"Limestone","AL",1980,4,"Limestone"
"Lowndes","AL",1980,1,"Lowndes"
"Macon","AL",1980,2,"Macon"
"Madison","AL",1980,30,"Madison"
"Marengo","AL",1980,3,"Marengo"
"Marion","AL",1980,1,"Marion"
"Marshall","AL",1980,5,"Marshall"
"Mobile","AL",1980,88,"Mobile"
"Montgomery","AL",1980,41,"Montgomery"
"Morgan","AL",1980,8,"Morgan"
"Perry","AL",1980,3,"Perry"
"Pickens","AL",1980,1,"Pickens"
"Pike","AL",1980,3,"Pike"
"Russell","AL",1980,9,"Russell"
"Shelby","AL",1980,4,"Shelby"
"St Clair","AL",1980,4,"St Clair"
"Sumter","AL",1980,4,"Sumter"
"Talladega","AL",1980,4,"Talladega"
"Tallapoosa","AL",1980,7,"Tallapoosa"
"Tuscaloosa","AL",1980,13,"Tuscaloosa"
"Walker","AL",1980,3,"Walker"
"Washington","AL",1980,4,"Washington"
"Wilcox","AL",1980,2,"Wilcox"
"Winston","AL",1980,1,"Winston"
"Arkansas","AR",1980,1,"Arkansas"
"Ashley","AR",1980,2,"Ashley"
"Benton","AR",1980,2,"Benton"
"Boone","AR",1980,2,"Boone"
"Bradley","AR",1980,3,"Bradley"
"Calhoun","AR",1980,1,"Calhoun"
"Chicot","AR",1980,2,"Chicot"
"Clark","AR",1980,2,"Clark"
"Clay","AR",1980,6,"Clay"
"Columbia","AR",1980,5,"Columbia"
"Conway","AR",1980,2,"Conway"
"Craighead","AR",1980,2,"Craighead"
"Crawford","AR",1980,3,"Crawford"
"Crittenden","AR",1980,10,"Crittenden"
"Drew","AR",1980,1,"Drew"
"Faulkner","AR",1980,2,"Faulkner"
"Franklin","AR",1980,1,"Franklin"
"Fulton","AR",1980,1,"Fulton"
"Garland","AR",1980,3,"Garland"
"Grant","AR",1980,2,"Grant"
"Greene","AR",1980,2,"Greene"
"Hempstead","AR",1980,1,"Hempstead"
"Hot Spring","AR",1980,5,"Hot Spring"
"Jackson","AR",1980,1,"Jackson"
"Jefferson","AR",1980,14,"Jefferson"
"Lafayette","AR",1980,2,"Lafayette"
"Lincoln","AR",1980,1,"Lincoln"
"Little River","AR",1980,2,"Little River"
"Lonoke","AR",1980,5,"Lonoke"
"Marion","AR",1980,1,"Marion"
"Miller","AR",1980,2,"Miller"
"Mississippi","AR",1980,13,"Mississippi"
"Montgomery","AR",1980,1,"Montgomery"
"Newton","AR",1980,1,"Newton"
"Ouachita","AR",1980,2,"Ouachita"
"Phillips","AR",1980,7,"Phillips"
"Pike","AR",1980,2,"Pike"
"Poinsett","AR",1980,3,"Poinsett"
"Polk","AR",1980,1,"Polk"
"Prairie","AR",1980,1,"Prairie"
"Pulaski","AR",1980,69,"Pulaski"
"Saline","AR",1980,3,"Saline"
"Sebastian","AR",1980,3,"Sebastian"
"Sevier","AR",1980,1,"Sevier"
"St Francis","AR",1980,1,"St Francis"
"Union","AR",1980,8,"Union"
"Van Buren","AR",1980,2,"Van Buren"
"Washington","AR",1980,6,"Washington"
"Woodruff","AR",1980,2,"Woodruff"
"Yell","AR",1980,2,"Yell"
"Cochise","AZ",1980,8,"Cochise"
"Coconino","AZ",1980,1,"Coconino"
"Gila","AZ",1980,11,"Gila"
"Graham","AZ",1980,1,"Graham"
"Maricopa","AZ",1980,167,"Maricopa"
"Mohave","AZ",1980,2,"Mohave"
"Navajo","AZ",1980,6,"Navajo"
"Pima","AZ",1980,58,"Pima"
"Pinal","AZ",1980,20,"Pinal"
"Santa Cruz","AZ",1980,1,"Santa Cruz"
"Yavapai","AZ",1980,3,"Yavapai"
"Yuma","AZ",1980,18,"Yuma"
"Alameda","CA",1980,191,"Alameda"
"Alpine","CA",1980,1,"Alpine"
"Butte","CA",1980,7,"Butte"
"Colusa","CA",1980,2,"Colusa"
"Contra Costa","CA",1980,52,"Contra Costa"
"Del Norte","CA",1980,3,"Del Norte"
"El Dorado","CA",1980,9,"El Dorado"
"Fresno","CA",1980,114,"Fresno"
"Glenn","CA",1980,2,"Glenn"
"Humboldt","CA",1980,19,"Humboldt"
"Imperial","CA",1980,18,"Imperial"
"Inyo","CA",1980,3,"Inyo"
"Kern","CA",1980,89,"Kern"
"Kings","CA",1980,5,"Kings"
"Lake","CA",1980,3,"Lake"
"Lassen","CA",1980,1,"Lassen"
"Los Angeles","CA",1980,1831,"Los Angeles"
"Madera","CA",1980,12,"Madera"
"Marin","CA",1980,16,"Marin"
"Mariposa","CA",1980,1,"Mariposa"
"Mendocino","CA",1980,8,"Mendocino"
"Merced","CA",1980,10,"Merced"
"Modoc","CA",1980,2,"Modoc"
"Mono","CA",1980,2,"Mono"
"Monterey","CA",1980,27,"Monterey"
"Napa","CA",1980,6,"Napa"
"Nevada","CA",1980,3,"Nevada"
"Orange","CA",1980,122,"Orange"
"Placer","CA",1980,9,"Placer"
"Plumas","CA",1980,3,"Plumas"
"Riverside","CA",1980,95,"Riverside"
"Sacramento","CA",1980,81,"Sacramento"
"San Benito","CA",1980,3,"San Benito"
"San Bernardino","CA",1980,151,"San Bernardino"
"San Diego","CA",1980,177,"San Diego"
"San Francisco","CA",1980,125,"San Francisco"
"San Joaquin","CA",1980,64,"San Joaquin"
"San Luis Obispo","CA",1980,16,"San Luis Obispo"
"San Mateo","CA",1980,37,"San Mateo"
"Santa Barbara","CA",1980,22,"Santa Barbara"
"Santa Clara","CA",1980,105,"Santa Clara"
"Santa Cruz","CA",1980,19,"Santa Cruz"
"Shasta","CA",1980,6,"Shasta"
"Siskiyou","CA",1980,1,"Siskiyou"
"Solano","CA",1980,17,"Solano"
"Sonoma","CA",1980,16,"Sonoma"
"Stnislaus","CA",1980,31,"Stnislaus"
"Sutter","CA",1980,7,"Sutter"
"Tehama","CA",1980,13,"Tehama"
"Tulare","CA",1980,34,"Tulare"
"Tuolumne","CA",1980,2,"Tuolumne"
"Ventura","CA",1980,40,"Ventura"
"Yolo","CA",1980,10,"Yolo"
"Yuba","CA",1980,7,"Yuba"
"Adams","CO",1980,12,"Adams"
"Alamosa","CO",1980,1,"Alamosa"
"Arapahoe","CO",1980,13,"Arapahoe"
"Archuleta","CO",1980,1,"Archuleta"
"Boulder","CO",1980,8,"Boulder"
"Clear Creek","CO",1980,1,"Clear Creek"
"Crowley","CO",1980,1,"Crowley"
"Denver","CO",1980,113,"Denver"
"Douglas","CO",1980,3,"Douglas"
"El Paso","CO",1980,19,"El Paso"
"Elbert","CO",1980,2,"Elbert"
"Fremont","CO",1980,2,"Fremont"
"Jefferson","CO",1980,3,"Jefferson"
"La Plata","CO",1980,1,"La Plata"
"Larimer","CO",1980,4,"Larimer"
"Mesa","CO",1980,4,"Mesa"
"Otero","CO",1980,1,"Otero"
"Park","CO",1980,1,"Park"
"Pueblo","CO",1980,4,"Pueblo"
"Rio Blanco","CO",1980,1,"Rio Blanco"
"Teller","CO",1980,4,"Teller"
"Weld","CO",1980,2,"Weld"
"Fairfield","CT",1980,40,"Fairfield"
"Hartford","CT",1980,56,"Hartford"
"Middlesex","CT",1980,3,"Middlesex"
"New Haven","CT",1980,52,"New Haven"
"New London","CT",1980,8,"New London"
"Tolland","CT",1980,1,"Tolland"
"Windham","CT",1980,1,"Windham"
"District Of Columbia","DC",1980,180,"District Of Columbia"
"Kent","DE",1980,6,"Kent"
"New Castle","DE",1980,36,"New Castle"
"Sussex","DE",1980,5,"Sussex"
"Alachua","FL",1980,14,"Alachua"
"Baker","FL",1980,3,"Baker"
"Bay","FL",1980,7,"Bay"
"Bradford","FL",1980,7,"Bradford"
"Brevard","FL",1980,17,"Brevard"
"Broward","FL",1980,189,"Broward"
"Calhoun","FL",1980,1,"Calhoun"
"Charlotte","FL",1980,1,"Charlotte"
"Citrus","FL",1980,2,"Citrus"
"Clay","FL",1980,3,"Clay"
"Collier","FL",1980,25,"Collier"
"Columbia","FL",1980,5,"Columbia"
"Dade","FL",1980,578,"Dade"
"De Soto","FL",1980,4,"De Soto"
"Dixie","FL",1980,2,"Dixie"
"Duval","FL",1980,86,"Duval"
"Escambia","FL",1980,29,"Escambia"
"Flagler","FL",1980,2,"Flagler"
"Franklin","FL",1980,1,"Franklin"
"Gadsden","FL",1980,6,"Gadsden"
"Glades","FL",1980,1,"Glades"
"Gulf","FL",1980,2,"Gulf"
"Hamilton","FL",1980,2,"Hamilton"
"Hardee","FL",1980,1,"Hardee"
"Hendry","FL",1980,3,"Hendry"
"Hernando","FL",1980,5,"Hernando"
"Highlands","FL",1980,7,"Highlands"
"Hillsborough","FL",1980,82,"Hillsborough"
"Holmes","FL",1980,3,"Holmes"
"Indian River","FL",1980,8,"Indian River"
"Jackson","FL",1980,4,"Jackson"
"Jefferson","FL",1980,2,"Jefferson"
"Lake","FL",1980,11,"Lake"
"Lee","FL",1980,22,"Lee"
"Leon","FL",1980,11,"Leon"
"Liberty","FL",1980,1,"Liberty"
"Madison","FL",1980,4,"Madison"
"Manatee","FL",1980,23,"Manatee"
"Marion","FL",1980,17,"Marion"
"Martin","FL",1980,6,"Martin"
"Monroe","FL",1980,7,"Monroe"
"Nassau","FL",1980,2,"Nassau"
"Okaloosa","FL",1980,8,"Okaloosa"
"Okeechobee","FL",1980,10,"Okeechobee"
"Orange","FL",1980,60,"Orange"
"Osceola","FL",1980,3,"Osceola"
"Palm Beach","FL",1980,63,"Palm Beach"
"Pasco","FL",1980,15,"Pasco"
"Pinellas","FL",1980,43,"Pinellas"
"Polk","FL",1980,40,"Polk"
"Putnam","FL",1980,9,"Putnam"
"Santa Rosa","FL",1980,3,"Santa Rosa"
"Sarasota","FL",1980,12,"Sarasota"
"Seminole","FL",1980,8,"Seminole"
"St Johns","FL",1980,9,"St Johns"
"St Lucie","FL",1980,14,"St Lucie"
"Sumter","FL",1980,3,"Sumter"
"Taylor","FL",1980,4,"Taylor"
"Union","FL",1980,1,"Union"
"Volusia","FL",1980,21,"Volusia"
"Wakulla","FL",1980,2,"Wakulla"
"Walton","FL",1980,3,"Walton"
"Washington","FL",1980,1,"Washington"
"Appling","GA",1980,1,"Appling"
"Baker","GA",1980,1,"Baker"
"Baldwin","GA",1980,2,"Baldwin"
"Barrow","GA",1980,4,"Barrow"
"Bartow","GA",1980,1,"Bartow"
"Ben Hill","GA",1980,2,"Ben Hill"
"Berrien","GA",1980,2,"Berrien"
"Bibb","GA",1980,16,"Bibb"
"Bulloch","GA",1980,1,"Bulloch"
"Burke","GA",1980,1,"Burke"
"Carroll","GA",1980,3,"Carroll"
"Catoosa","GA",1980,1,"Catoosa"
"Charlton","GA",1980,1,"Charlton"
"Chatham","GA",1980,27,"Chatham"
"Chattooga","GA",1980,1,"Chattooga"
"Cherokee","GA",1980,1,"Cherokee"
"Clarke","GA",1980,1,"Clarke"
"Clayton","GA",1980,5,"Clayton"
"Clinch","GA",1980,3,"Clinch"
"Cobb","GA",1980,7,"Cobb"
"Coffee","GA",1980,7,"Coffee"
"Colquitt","GA",1980,1,"Colquitt"
"Columbia","GA",1980,3,"Columbia"
"Cook","GA",1980,4,"Cook"
"Coweta","GA",1980,1,"Coweta"
"Crisp","GA",1980,3,"Crisp"
"Dade","GA",1980,3,"Dade"
"De Kalb","GA",1980,7,"De Kalb"
"Decatur","GA",1980,1,"Decatur"
"Dougherty","GA",1980,10,"Dougherty"
"Douglas","GA",1980,6,"Douglas"
"Elbert","GA",1980,3,"Elbert"
"Emanuel","GA",1980,1,"Emanuel"
"Floyd","GA",1980,13,"Floyd"
"Fulton","GA",1980,187,"Fulton"
"Gilmer","GA",1980,1,"Gilmer"
"Glynn","GA",1980,7,"Glynn"
"Gordon","GA",1980,2,"Gordon"
"Greene","GA",1980,1,"Greene"
"Gwinnett","GA",1980,5,"Gwinnett"
"Harris","GA",1980,2,"Harris"
"Henry","GA",1980,1,"Henry"
"Houston","GA",1980,6,"Houston"
"Jackson","GA",1980,4,"Jackson"
"Jefferson","GA",1980,2,"Jefferson"
"Jenkins","GA",1980,1,"Jenkins"
"Laurens","GA",1980,1,"Laurens"
"Liberty","GA",1980,1,"Liberty"
"Lowndes","GA",1980,2,"Lowndes"
"Macon","GA",1980,1,"Macon"
"Mcintosh","GA",1980,1,"Mcintosh"
"Mitchell","GA",1980,3,"Mitchell"
"Monroe","GA",1980,1,"Monroe"
"Murray","GA",1980,2,"Murray"
"Muscogee","GA",1980,18,"Muscogee"
"Newton","GA",1980,2,"Newton"
"Peach","GA",1980,3,"Peach"
"Polk","GA",1980,1,"Polk"
"Putnam","GA",1980,3,"Putnam"
"Richmond","GA",1980,22,"Richmond"
"Spalding","GA",1980,8,"Spalding"
"Stphens","GA",1980,2,"Stphens"
"Sumter","GA",1980,3,"Sumter"
"Terrell","GA",1980,2,"Terrell"
"Thomas","GA",1980,4,"Thomas"
"Tift","GA",1980,1,"Tift"
"Toombs","GA",1980,3,"Toombs"
"Troup","GA",1980,7,"Troup"
"Upson","GA",1980,2,"Upson"
"Walker","GA",1980,1,"Walker"
"Ware","GA",1980,2,"Ware"
"Washington","GA",1980,6,"Washington"
"Wayne","GA",1980,2,"Wayne"
"Whitfield","GA",1980,7,"Whitfield"
"Worth","GA",1980,1,"Worth"
"Hawaii","HI",1980,13,"Hawaii"
"Honolulu","HI",1980,68,"Honolulu"
"Kauai","HI",1980,1,"Kauai"
"Maui","HI",1980,5,"Maui"
"Allamakee","IA",1980,1,"Allamakee"
"Appanoose","IA",1980,1,"Appanoose"
"Benton","IA",1980,1,"Benton"
"Black Hawk","IA",1980,3,"Black Hawk"
"Cedar","IA",1980,1,"Cedar"
"Clinton","IA",1980,1,"Clinton"
"Decatur","IA",1980,1,"Decatur"
"Des Moines","IA",1980,4,"Des Moines"
"Dubuque","IA",1980,2,"Dubuque"
"Franklin","IA",1980,2,"Franklin"
"Iowa","IA",1980,2,"Iowa"
"Lee","IA",1980,1,"Lee"
"Linn","IA",1980,2,"Linn"
"Marshall","IA",1980,1,"Marshall"
"Muscatine","IA",1980,4,"Muscatine"
"Page","IA",1980,1,"Page"
"Polk","IA",1980,23,"Polk"
"Pottawattamie","IA",1980,5,"Pottawattamie"
"Poweshiek","IA",1980,2,"Poweshiek"
"Scott","IA",1980,4,"Scott"
"Tama","IA",1980,1,"Tama"
"Taylor","IA",1980,1,"Taylor"
"Wapello","IA",1980,1,"Wapello"
"Woodbury","IA",1980,1,"Woodbury"
"Ada","ID",1980,7,"Ada"
"Bannock","ID",1980,4,"Bannock"
"Benewah","ID",1980,1,"Benewah"
"Bingham","ID",1980,1,"Bingham"
"Bonneville","ID",1980,1,"Bonneville"
"Canyon","ID",1980,2,"Canyon"
"Cassia","ID",1980,4,"Cassia"
"Custer","ID",1980,1,"Custer"
"Elmore","ID",1980,1,"Elmore"
"Gem","ID",1980,1,"Gem"
"Gooding","ID",1980,1,"Gooding"
"Kootenai","ID",1980,1,"Kootenai"
"Minidoka","ID",1980,1,"Minidoka"
"Owyhee","ID",1980,1,"Owyhee"
"Power","ID",1980,1,"Power"
"Shoshone","ID",1980,1,"Shoshone"
"Washington","ID",1980,1,"Washington"
"Adams","IL",1980,4,"Adams"
"Alexander","IL",1980,4,"Alexander"
"Bureau","IL",1980,1,"Bureau"
"Carroll","IL",1980,1,"Carroll"
"Champaign","IL",1980,8,"Champaign"
"Coles","IL",1980,2,"Coles"
"Cook","IL",1980,1097,"Cook"
"De Witt","IL",1980,2,"De Witt"
"Dekalb","IL",1980,1,"Dekalb"
"Dupage","IL",1980,7,"Dupage"
"Edgar","IL",1980,7,"Edgar"
"Franklin","IL",1980,2,"Franklin"
"Fulton","IL",1980,2,"Fulton"
"Gallatin","IL",1980,2,"Gallatin"
"Grundy","IL",1980,1,"Grundy"
"Hancock","IL",1980,1,"Hancock"
"Jackson","IL",1980,1,"Jackson"
"Jefferson","IL",1980,1,"Jefferson"
"Kane","IL",1980,15,"Kane"
"Kankakee","IL",1980,6,"Kankakee"
"Kendall","IL",1980,2,"Kendall"
"Knox","IL",1980,4,"Knox"
"Lake","IL",1980,22,"Lake"
"Lawrence","IL",1980,1,"Lawrence"
"Macon","IL",1980,3,"Macon"
"Madison","IL",1980,12,"Madison"
"Marion","IL",1980,2,"Marion"
"Mason","IL",1980,1,"Mason"
"Massac","IL",1980,1,"Massac"
"Mchenry","IL",1980,2,"Mchenry"
"Mclean","IL",1980,1,"Mclean"
"Mercer","IL",1980,1,"Mercer"
"Monroe","IL",1980,1,"Monroe"
"Morgan","IL",1980,1,"Morgan"
"Ogle","IL",1980,1,"Ogle"
"Peoria","IL",1980,13,"Peoria"
"Perry","IL",1980,1,"Perry"
"Pulaski","IL",1980,1,"Pulaski"
"Rock Island","IL",1980,5,"Rock Island"
"Saline","IL",1980,1,"Saline"
"Sangamon","IL",1980,11,"Sangamon"
"Schuyler","IL",1980,1,"Schuyler"
"St Clair","IL",1980,59,"St Clair"
"Tazewell","IL",1980,3,"Tazewell"
"Union","IL",1980,2,"Union"
"Vermilion","IL",1980,6,"Vermilion"
"White","IL",1980,1,"White"
"Will","IL",1980,39,"Will"
"Williamson","IL",1980,1,"Williamson"
"Winnebago","IL",1980,14,"Winnebago"
"Allen","IN",1980,17,"Allen"
"Boone","IN",1980,1,"Boone"
"Carroll","IN",1980,1,"Carroll"
"Cass","IN",1980,1,"Cass"
"Clark","IN",1980,2,"Clark"
"Clinton","IN",1980,1,"Clinton"
"Decatur","IN",1980,1,"Decatur"
"Delaware","IN",1980,4,"Delaware"
"Elkhart","IN",1980,26,"Elkhart"
"Floyd","IN",1980,4,"Floyd"
"Fountain","IN",1980,1,"Fountain"
"Grant","IN",1980,3,"Grant"
"Hamilton","IN",1980,2,"Hamilton"
"Harrison","IN",1980,1,"Harrison"
"Henry","IN",1980,4,"Henry"
"Howard","IN",1980,7,"Howard"
"Jackson","IN",1980,1,"Jackson"
"Johnson","IN",1980,1,"Johnson"
"Knox","IN",1980,1,"Knox"
"Kosciusko","IN",1980,1,"Kosciusko"
"Lake","IN",1980,112,"Lake"
"Lawrence","IN",1980,1,"Lawrence"
"Madison","IN",1980,6,"Madison"
"Marion","IN",1980,154,"Marion"
"Marshall","IN",1980,1,"Marshall"
"Martin","IN",1980,1,"Martin"
"Morgan","IN",1980,2,"Morgan"
"Pike","IN",1980,1,"Pike"
"Porter","IN",1980,2,"Porter"
"Ripley","IN",1980,5,"Ripley"
"Scott","IN",1980,2,"Scott"
"Spencer","IN",1980,2,"Spencer"
"St Joseph","IN",1980,28,"St Joseph"
"Strke","IN",1980,1,"Strke"
"Tippecanoe","IN",1980,7,"Tippecanoe"
"Vanderburgh","IN",1980,26,"Vanderburgh"
"Vigo","IN",1980,5,"Vigo"
"Wabash","IN",1980,1,"Wabash"
"Wayne","IN",1980,5,"Wayne"
"White","IN",1980,1,"White"
"Atchison","KS",1980,1,"Atchison"
"Barton","KS",1980,3,"Barton"
"Bourbon","KS",1980,3,"Bourbon"
"Brown","KS",1980,1,"Brown"
"Butler","KS",1980,5,"Butler"
"Chautauqua","KS",1980,1,"Chautauqua"
"Cherokee","KS",1980,4,"Cherokee"
"Cloud","KS",1980,2,"Cloud"
"Cowley","KS",1980,2,"Cowley"
"Crawford","KS",1980,4,"Crawford"
"Decatur","KS",1980,1,"Decatur"
"Doniphan","KS",1980,1,"Doniphan"
"Douglas","KS",1980,3,"Douglas"
"Edwards","KS",1980,1,"Edwards"
"Ellis","KS",1980,7,"Ellis"
"Finney","KS",1980,2,"Finney"
"Franklin","KS",1980,2,"Franklin"
"Geary","KS",1980,4,"Geary"
"Greenwood","KS",1980,1,"Greenwood"
"Jackson","KS",1980,1,"Jackson"
"Jefferson","KS",1980,1,"Jefferson"
"Johnson","KS",1980,34,"Johnson"
"Labette","KS",1980,1,"Labette"
"Leavenworth","KS",1980,3,"Leavenworth"
"Linn","KS",1980,1,"Linn"
"Miami","KS",1980,1,"Miami"
"Montgomery","KS",1980,1,"Montgomery"
"Osage","KS",1980,2,"Osage"
"Pratt","KS",1980,2,"Pratt"
"Reno","KS",1980,5,"Reno"
"Riley","KS",1980,2,"Riley"
"Saline","KS",1980,1,"Saline"
"Sedgwick","KS",1980,39,"Sedgwick"
"Seward","KS",1980,1,"Seward"
"Shawnee","KS",1980,16,"Shawnee"
"Thomas","KS",1980,1,"Thomas"
"Wyandotte","KS",1980,30,"Wyandotte"
"Barren","KY",1980,2,"Barren"
"Bath","KY",1980,2,"Bath"
"Bell","KY",1980,7,"Bell"
"Boone","KY",1980,2,"Boone"
"Bourbon","KY",1980,1,"Bourbon"
"Boyd","KY",1980,2,"Boyd"
"Boyle","KY",1980,3,"Boyle"
"Breathitt","KY",1980,5,"Breathitt"
"Breckinridge","KY",1980,1,"Breckinridge"
"Bullitt","KY",1980,3,"Bullitt"
"Caldwell","KY",1980,4,"Caldwell"
"Calloway","KY",1980,2,"Calloway"
"Campbell","KY",1980,2,"Campbell"
"Carroll","KY",1980,2,"Carroll"
"Carter","KY",1980,1,"Carter"
"Casey","KY",1980,1,"Casey"
"Christian","KY",1980,5,"Christian"
"Clark","KY",1980,1,"Clark"
"Clay","KY",1980,20,"Clay"
"Clinton","KY",1980,2,"Clinton"
"Crittenden","KY",1980,1,"Crittenden"
"Cumberland","KY",1980,3,"Cumberland"
"Daviess","KY",1980,7,"Daviess"
"Edmonson","KY",1980,1,"Edmonson"
"Elliott","KY",1980,3,"Elliott"
"Fayette","KY",1980,12,"Fayette"
"Fleming","KY",1980,1,"Fleming"
"Floyd","KY",1980,1,"Floyd"
"Franklin","KY",1980,6,"Franklin"
"Fulton","KY",1980,1,"Fulton"
"Gallatin","KY",1980,1,"Gallatin"
"Garrard","KY",1980,2,"Garrard"
"Grant","KY",1980,2,"Grant"
"Graves","KY",1980,3,"Graves"
"Grayson","KY",1980,3,"Grayson"
"Hardin","KY",1980,5,"Hardin"
"Harlan","KY",1980,7,"Harlan"
"Harrison","KY",1980,2,"Harrison"
"Hart","KY",1980,3,"Hart"
"Henderson","KY",1980,2,"Henderson"
"Henry","KY",1980,3,"Henry"
"Hopkins","KY",1980,3,"Hopkins"
"Jackson","KY",1980,4,"Jackson"
"Jefferson","KY",1980,82,"Jefferson"
"Jessamine","KY",1980,4,"Jessamine"
"Johnson","KY",1980,5,"Johnson"
"Kenton","KY",1980,12,"Kenton"
"Knox","KY",1980,8,"Knox"
"Larue","KY",1980,1,"Larue"
"Laurel","KY",1980,5,"Laurel"
"Lawrence","KY",1980,2,"Lawrence"
"Lee","KY",1980,1,"Lee"
"Leslie","KY",1980,9,"Leslie"
"Letcher","KY",1980,4,"Letcher"
"Lincoln","KY",1980,1,"Lincoln"
"Livingston","KY",1980,7,"Livingston"
"Logan","KY",1980,1,"Logan"
"Madison","KY",1980,6,"Madison"
"Magoffin","KY",1980,2,"Magoffin"
"Marion","KY",1980,4,"Marion"
"Marshall","KY",1980,1,"Marshall"
"Martin","KY",1980,2,"Martin"
"Mccracken","KY",1980,5,"Mccracken"
"Mccreary","KY",1980,1,"Mccreary"
"Mercer","KY",1980,2,"Mercer"
"Montgomery","KY",1980,2,"Montgomery"
"Muhlenberg","KY",1980,1,"Muhlenberg"
"Nelson","KY",1980,2,"Nelson"
"Ohio","KY",1980,2,"Ohio"
"Oldham","KY",1980,3,"Oldham"
"Pendleton","KY",1980,1,"Pendleton"
"Perry","KY",1980,9,"Perry"
"Pike","KY",1980,23,"Pike"
"Powell","KY",1980,3,"Powell"
"Pulaski","KY",1980,7,"Pulaski"
"Rockcastle","KY",1980,4,"Rockcastle"
"Rowan","KY",1980,4,"Rowan"
"Russell","KY",1980,1,"Russell"
"Scott","KY",1980,2,"Scott"
"Shelby","KY",1980,3,"Shelby"
"Simpson","KY",1980,3,"Simpson"
"Taylor","KY",1980,1,"Taylor"
"Todd","KY",1980,1,"Todd"
"Trigg","KY",1980,4,"Trigg"
"Warren","KY",1980,9,"Warren"
"Webster","KY",1980,1,"Webster"
"Whitley","KY",1980,1,"Whitley"
"Wolfe","KY",1980,1,"Wolfe"
"Acadia","LA",1980,2,"Acadia"
"Allen","LA",1980,2,"Allen"
"Ascension","LA",1980,4,"Ascension"
"Assumption","LA",1980,2,"Assumption"
"Avoyelles","LA",1980,5,"Avoyelles"
"Beauregard","LA",1980,1,"Beauregard"
"Bossier","LA",1980,9,"Bossier"
"Caddo","LA",1980,53,"Caddo"
"Calcasieu","LA",1980,15,"Calcasieu"
"Caldwell","LA",1980,1,"Caldwell"
"Claiborne","LA",1980,1,"Claiborne"
"Concordia","LA",1980,1,"Concordia"
"East Baton Rouge","LA",1980,32,"East Baton Rouge"
"East Carroll","LA",1980,1,"East Carroll"
"East Feliciana","LA",1980,2,"East Feliciana"
"Evangeline","LA",1980,2,"Evangeline"
"Franklin","LA",1980,6,"Franklin"
"Grant","LA",1980,1,"Grant"
"Iberia","LA",1980,5,"Iberia"
"Iberville","LA",1980,1,"Iberville"
"Jackson","LA",1980,2,"Jackson"
"Jefferson","LA",1980,42,"Jefferson"
"Jefferson Davis","LA",1980,2,"Jefferson Davis"
"Lafayette","LA",1980,14,"Lafayette"
"Lafourche","LA",1980,7,"Lafourche"
"Lincoln","LA",1980,4,"Lincoln"
"Livingston","LA",1980,1,"Livingston"
"Madison","LA",1980,4,"Madison"
"Morehouse","LA",1980,9,"Morehouse"
"Natchitoches","LA",1980,8,"Natchitoches"
"Orleans","LA",1980,210,"Orleans"
"Ouachita","LA",1980,18,"Ouachita"
"Plaquemines","LA",1980,1,"Plaquemines"
"Pointe Coupee","LA",1980,2,"Pointe Coupee"
"Rapides","LA",1980,21,"Rapides"
"St Bernard","LA",1980,1,"St Bernard"
"St Charles","LA",1980,4,"St Charles"
"St James","LA",1980,1,"St James"
"St John The Baptist","LA",1980,3,"St John The Baptist"
"St Landry","LA",1980,2,"St Landry"
"St Mary","LA",1980,11,"St Mary"
"St Tammany","LA",1980,6,"St Tammany"
"Tangipahoa","LA",1980,8,"Tangipahoa"
"Terrebonne","LA",1980,3,"Terrebonne"
"Vermilion","LA",1980,3,"Vermilion"
